Character,Strokes,Grade,English meaning,Readings
過,12,5,go beyond,カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
快,7,5,cheerful,カイ、こころよ-い
解,13,5,untie,カイ、ゲ、と-く、と-かす、と-ける
格,10,5,status,カク、（コウ）
確,15,5,certain,カク、たし-か、たし-かめる
額,18,5,amount,ガク、ひたい
刊,5,5,publish,カン
幹,13,5,tree-trunk,カン、みき
慣,14,5,accustomed,カン、な-れる、な-らす
眼,11,5,eyeball,ガン、（ゲン）、まなこ
紀,9,5,chronicle,キ
基,11,5,foundation,キ、もと、もとい
寄,11,5,approach,キ、よ-る、よ-せる
規,11,5,rule,キ
喜,12,5,rejoice,キ、よろこ-ぶ
技,7,5,skill,ギ、わざ
義,13,5,righteousness,ギ
逆,9,5,inverted,ギャク、さか、さか-らう
久,3,5,long time,キュウ、（ク）、ひさ-しい
旧,5,5,old times,キュウ
救,11,5,salvation,キュウ、すく-う
居,8,5,reside,キョ、い-る
許,11,5,permit,キョ、ゆる-す
境,14,5,boundary,キョウ、（ケイ）、さかい
均,7,5,level,キン
禁,13,5,prohibition,キン
句,5,5,phrase,ク
